Día,Atacante,Concello conquistado,Pertenecía a,Eliminado
125,O Condado,Terra De Lemos,O Carballiño,
126,O Carballiño,Terra De Melide,Lugo,
127,O Morrazo,Arzúa,Santiago,
128,Fisterra,Arzúa,O Morrazo,
129,A Mariña Central,Lugo,Lugo,Lugo
130,Santiago,Arzúa,Fisterra,
131,A Mariña Central,Terra De Melide,O Carballiño,
132,O Morrazo,Arzúa,Santiago,
133,O Condado,Sarria,O Carballiño,
134,O Morrazo,A Ulloa,O Carballiño,
135,Fisterra,Arzúa,O Morrazo,
136,Valdeorras,Sarria,O Condado,
137,O Condado,Chantada,O Carballiño,O Carballiño
138,A Mariña Central,A Ulloa,O Morrazo,
139,Fisterra,Terra De Soneira,Santiago,
140,O Morrazo,Arzúa,Fisterra,
141,O Morrazo,A Ulloa,A Mariña Central,
142,Fisterra,Arzúa,O Morrazo,
143,A Mariña Central,A Ulloa,O Morrazo,
144,O Morrazo,Arzúa,Fisterra,
145,Fisterra,Arzúa,O Morrazo,
146,Santiago,Terra De Soneira,Fisterra,
147,Santiago,Arzúa,Fisterra,
148,Fisterra,Arzúa,Santiago,
149,O Morrazo,Arzúa,Fisterra,
150,Santiago,Arzúa,O Morrazo,
151,O Condado,A Ulloa,A Mariña Central,
152,Santiago,Deza,O Morrazo,
153,O Condado,Terra De Melide,A Mariña Central,
154,O Morrazo,Deza,Santiago,
155,O Morrazo,Arzúa,Santiago,
156,O Condado,Arzúa,O Morrazo,
157,A Mariña Central,A Mariña Oriental,Valdeorras,
158,Santiago,Arzúa,O Condado,
159,O Condado,Arzúa,Santiago,
160,A Mariña Central,A Fonsagrada,Valdeorras,
161,Valdeorras,A Fonsagrada,A Mariña Central,
162,O Morrazo,Arzúa,O Condado,
163,O Morrazo,Terra De Melide,O Condado,
164,Valdeorras,A Mariña Oriental,A Mariña Central,
165,Fisterra,Arzúa,O Morrazo,
166,Fisterra,Terra De Melide,O Morrazo,
167,A Mariña Central,A Ulloa,O Condado,
168,Valdeorras,Chantada,O Condado,
169,Santiago,Deza,O Morrazo,
170,O Morrazo,Deza,Santiago,
171,A Mariña Central,Chantada,Valdeorras,
172,Valdeorras,Chantada,A Mariña Central,
173,Valdeorras,A Ulloa,A Mariña Central,
174,Santiago,Deza,O Morrazo,
175,O Morrazo,Deza,Santiago,
176,A Mariña Central,A Ulloa,Valdeorras,
177,Fisterra,A Ulloa,A Mariña Central,
178,O Condado,Chantada,Valdeorras,
179,Valdeorras,Lugo,A Mariña Central,
180,O Condado,A Ulloa,Fisterra,
181,O Morrazo,A Ulloa,O Condado,
182,Valdeorras,A Ulloa,O Morrazo,
183,O Morrazo,A Ulloa,Valdeorras,
184,Valdeorras,A Ulloa,O Morrazo,
185,Santiago,Deza,O Morrazo,
186,Fisterra,Deza,Santiago,
187,Valdeorras,Chantada,O Condado,
188,Santiago,Deza,Fisterra,
189,O Condado,Verín,Valdeorras,
190,Santiago,Bergantiños,Fisterra,
191,Valdeorras,Deza,Santiago,
192,Fisterra,Bergantiños,Santiago,
193,A Mariña Central,A Mariña Oriental,Valdeorras,
194,Santiago,Deza,Valdeorras,
195,O Condado,Viana,Valdeorras,
196,Valdeorras,Deza,Santiago,
197,A Mariña Central,Terra De Melide,Fisterra,
198,Santiago,Arzúa,Fisterra,
199,Valdeorras,Arzúa,Santiago,
200,Valdeorras,Terra De Melide,A Mariña Central,
201,Valdeorras,Viana,O Condado,
202,O Morrazo,Santiago,Santiago,
203,Santiago,Santiago,O Morrazo,
204,A Mariña Central,Ortegal,Fisterra,
205,Valdeorras,A Mariña Oriental,A Mariña Central,
206,Santiago,Arzúa,Valdeorras,
207,Santiago,Bergantiños,Fisterra,
208,Fisterra,Arzúa,Santiago,
209,O Morrazo,Santiago,Santiago,
210,A Mariña Central,Ferrol,Fisterra,
211,Fisterra,Ferrol,A Mariña Central,
212,O Morrazo,A Barcala,Santiago,
213,A Mariña Central,Ferrol,Fisterra,
214,Fisterra,Ferrol,A Mariña Central,
215,Santiago,A Barcala,O Morrazo,
216,O Condado,Viana,Valdeorras,
217,Fisterra,Ortegal,A Mariña Central,
218,O Condado,Terra De Trives,Valdeorras,
219,O Condado,Valdeorras,Valdeorras,
220,O Morrazo,A Barcala,Santiago,
221,Santiago,A Barcala,O Morrazo,
222,Santiago,Santiago,O Morrazo,
223,O Morrazo,Santiago,Santiago,
224,O Morrazo,A Barcala,Santiago,
225,Santiago,A Barcala,O Morrazo,
226,Fisterra,Bergantiños,Santiago,
227,O Morrazo,A Barcala,Santiago,
228,A Mariña Central,A Mariña Oriental,Valdeorras,
229,O Condado,Quiroga,Valdeorras,
230,A Mariña Central,Ortegal,Fisterra,
231,O Condado,Sarria,Valdeorras,
232,Santiago,A Barcala,O Morrazo,
233,A Mariña Central,Ferrol,Fisterra,
234,O Morrazo,A Barcala,Santiago,
235,Santiago,A Barcala,O Morrazo,
236,A Mariña Central,Eume,Fisterra,
237,O Morrazo,A Barcala,Santiago,
238,O Condado,Os Ancares,Valdeorras,
239,A Mariña Central,A Fonsagrada,Valdeorras,
240,O Condado,A Fonsagrada,A Mariña Central,
241,O Morrazo,Noia,Santiago,
242,O Condado,A Mariña Oriental,A Mariña Central,
243,Fisterra,Terra De Soneira,Santiago,
244,A Mariña Central,A Mariña Oriental,O Condado,
245,Santiago,Terra De Soneira,Fisterra,
246,Santiago,A Barcala,O Morrazo,
247,Fisterra,Terra De Soneira,Santiago,
248,Santiago,Terra De Soneira,Fisterra,
249,O Morrazo,A Barcala,Santiago,
250,O Morrazo,Arzúa,Fisterra,
251,A Mariña Central,A Fonsagrada,O Condado,
252,Fisterra,Arzúa,O Morrazo,
253,Fisterra,Terra De Soneira,Santiago,
254,Fisterra,Xallas,Santiago,
255,Fisterra,Fisterra,Santiago,
256,O Morrazo,Muros,Santiago,Santiago
257,A Mariña Central,Os Ancares,O Condado,
258,A Mariña Central,Sarria,O Condado,
259,O Morrazo,Arzúa,Fisterra,
260,Fisterra,Muros,O Morrazo,
261,A Mariña Central,Betanzos,Fisterra,
262,O Condado,Sarria,A Mariña Central,
263,Fisterra,Arzúa,O Morrazo,
264,Fisterra,A Barcala,O Morrazo,
265,Valdeorras,Arzúa,Fisterra,
266,Valdeorras,Os Ancares,A Mariña Central,
267,A Mariña Central,Os Ancares,Valdeorras,
268,O Morrazo,A Barcala,Fisterra,
269,Valdeorras,Os Ancares,A Mariña Central,
270,A Mariña Central,Os Ancares,Valdeorras,
271,O Morrazo,Arzúa,Valdeorras,
272,A Mariña Central,Arzúa,O Morrazo,
273,Valdeorras,Arzúa,A Mariña Central,
274,Fisterra,A Barcala,O Morrazo,
275,O Condado,Os Ancares,A Mariña Central,
276,A Mariña Central,A Coruña,Fisterra,
277,O Morrazo,A Barcala,Fisterra,
278,O Condado,A Fonsagrada,A Mariña Central,
279,A Mariña Central,A Fonsagrada,O Condado,
280,Fisterra,A Coruña,A Mariña Central,
281,Valdeorras,Betanzos,A Mariña Central,
282,O Condado,A Fonsagrada,A Mariña Central,
283,Valdeorras,A Fonsagrada,O Condado,
284,O Morrazo,Muros,Fisterra,
285,O Morrazo,Fisterra,Fisterra,
286,Valdeorras,A Coruña,Fisterra,
287,O Condado,A Fonsagrada,Valdeorras,
288,O Morrazo,Ordes,Fisterra,
289,Valdeorras,Ordes,O Morrazo,
290,Fisterra,Fisterra,O Morrazo,
291,Valdeorras,A Fonsagrada,O Condado,
292,Valdeorras,Bergantiños,Fisterra,
293,Fisterra,Muros,O Morrazo,
294,Fisterra,A Barcala,O Morrazo,
295,Fisterra,Bergantiños,Valdeorras,
296,O Morrazo,A Barcala,Fisterra,
297,O Condado,A Fonsagrada,Valdeorras,
298,O Condado,A Mariña Oriental,A Mariña Central,
299,O Condado,Meira,A Mariña Central,
300,A Mariña Central,Meira,O Condado,
301,O Condado,Meira,A Mariña Central,
302,A Mariña Central,Meira,O Condado,
303,A Mariña Central,A Mariña Oriental,O Condado,
304,Fisterra,A Barcala,O Morrazo,
305,Valdeorras,A Fonsagrada,O Condado,
306,Fisterra,A Coruña,Valdeorras,
307,A Mariña Central,A Fonsagrada,Valdeorras,
308,A Mariña Central,Os Ancares,O Condado,
309,A Mariña Central,Sarria,O Condado,
310,O Morrazo,A Barcala,Fisterra,
311,Fisterra,A Barcala,O Morrazo,
312,A Mariña Central,Betanzos,Valdeorras,
313,O Morrazo,A Barcala,Fisterra,
314,A Mariña Central,A Coruña,Fisterra,
315,O Morrazo,Ordes,Valdeorras,
316,Fisterra,Ordes,O Morrazo,
